row_number,level,Nation_fk,Year,Region,Country,wb_code,merge_key,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
8,1,1,2010,Asia-Pacific,Afghanistan,AFG,AFG_2010,30000,31330000,         <10000,10000,         <10000,         <10000,20000,         <10000,31410000
9,1,2,2010,Europe,Albania,ALB,ALB_2010,580000,2570000,50000,         <10000,         <10000,         <10000,         <10000,         <10000,3200000
10,1,3,2010,Middle East-North Africa,Algeria,DZA,DZA_2010,60000,34730000,660000,         <10000,         <10000,10000,         <10000,         <10000,35470000
11,1,4,2010,Asia-Pacific,American Samoa,ASM,ASM_2010,50000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,60000
12,1,5,2010,Europe,Andorra,AND,AND_2010,70000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,80000
13,1,6,2010,Sub-Saharan Africa,Angola,AGO,AGO_2010,17270000,40000,980000,         <10000,         <10000,790000,         <10000,         <10000,19080000
15,1,8,2010,Latin America-Caribbean,Antigua and Barbuda,ATG,ATG_2010,80000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,90000
16,1,9,2010,Latin America-Caribbean,Argentina,ARG,ARG_2010,34420000,400000,4920000,         <10000,20000,330000,120000,200000,40410000
17,1,10,2010,Asia-Pacific,Armenia,ARM,ARM_2010,3050000,         <10000,40000,         <10000,         <10000,         <10000,         <10000,         <10000,3090000
18,1,11,2010,Latin America-Caribbean,Aruba,ABW,ABW_2010,100000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,110000
19,1,12,2010,Asia-Pacific,Australia,AUS,AUS_2010,14980000,540000,5390000,310000,600000,150000,180000,110000,22270000
20,1,13,2010,Europe,Austria,AUT,AUT_2010,6750000,450000,1130000,         <10000,20000,         <10000,10000,10000,8390000
21,1,14,2010,Asia-Pacific,Azerbaijan,AZE,AZE_2010,280000,8900000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,9190000
22,1,15,2010,Latin America-Caribbean,Bahamas,BHS,BHS_2010,330000,         <10000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,340000
23,1,16,2010,Middle East-North Africa,Bahrain,BHR,BHR_2010,180000,890000,20000,120000,30000,         <10000,         <10000,         <10000,1260000
24,1,17,2010,Asia-Pacific,Bangladesh,BGD,BGD_2010,450000,134430000,         <10000,12680000,920000,100000,100000,         <10000,148690000
25,1,18,2010,Latin America-Caribbean,Barbados,BRB,BRB_2010,260000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,270000
26,1,19,2010,Europe,Belarus,BLR,BLR_2010,6830000,20000,2740000,         <10000,         <10000,         <10000,         <10000,         <10000,9600000
27,1,20,2010,Europe,Belgium,BEL,BEL_2010,6880000,630000,3110000,         <10000,30000,20000,10000,30000,10710000
28,1,21,2010,Latin America-Caribbean,Belize,BLZ,BLZ_2010,270000,         <10000,30000,         <10000,         <10000,         <10000,         <10000,         <10000,310000
29,1,22,2010,Sub-Saharan Africa,Benin,BEN,BEN_2010,4690000,2110000,450000,         <10000,         <10000,1600000,         <10000,         <10000,8850000
30,1,23,2010,North America,Bermuda,BMU,BMU_2010,50000,         <10000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,60000
31,1,24,2010,Asia-Pacific,Bhutan,BTN,BTN_2010,         <10000,         <10000,         <10000,160000,540000,10000,         <10000,         <10000,730000
32,1,25,2010,Latin America-Caribbean,Bolivia,BOL,BOL_2010,9330000,         <10000,400000,         <10000,         <10000,90000,100000,         <10000,9930000
33,1,26,2010,Europe,Bosnia-Herzegovina,BIH,BIH_2010,1970000,1700000,90000,         <10000,         <10000,         <10000,         <10000,         <10000,3760000
34,1,27,2010,Sub-Saharan Africa,Botswana,BWA,BWA_2010,1450000,         <10000,410000,         <10000,         <10000,120000,10000,         <10000,2010000
35,1,28,2010,Latin America-Caribbean,Brazil,BRA,BRA_2010,173300000,40000,15410000,         <10000,250000,5540000,300000,110000,194950000
36,1,29,2010,Latin America-Caribbean,British Virgin Islands,VGB,VGB_2010,20000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,30000
37,1,30,2010,Asia-Pacific,Brunei,BRN,BRN_2010,40000,300000,         <10000,         <10000,30000,20000,         <10000,         <10000,400000
38,1,31,2010,Europe,Bulgaria,BGR,BGR_2010,6150000,1020000,310000,         <10000,         <10000,         <10000,         <10000,         <10000,7490000
39,1,32,2010,Sub-Saharan Africa,Burkina Faso,BFA,BFA_2010,3710000,10150000,70000,         <10000,         <10000,2530000,         <10000,         <10000,16470000
40,1,33,2010,Sub-Saharan Africa,Burundi,BDI,BDI_2010,7670000,230000,         <10000,         <10000,         <10000,480000,         <10000,         <10000,8380000
41,1,34,2010,Asia-Pacific,Cambodia,KHM,KHM_2010,50000,280000,30000,         <10000,13690000,80000,         <10000,         <10000,14140000
42,1,35,2010,Sub-Saharan Africa,Cameroon,CMR,CMR_2010,13780000,3590000,1050000,         <10000,         <10000,650000,530000,         <10000,19600000
43,1,36,2010,North America,Canada,CAN,CAN_2010,23470000,710000,8050000,470000,280000,390000,300000,350000,34020000
44,1,37,2010,Sub-Saharan Africa,Cape Verde,CPV,CPV_2010,440000,         <10000,50000,         <10000,         <10000,         <10000,         <10000,         <10000,500000
45,1,38,2010,Latin America-Caribbean,Cayman Islands,CYM,CYM_2010,50000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,60000
46,1,39,2010,Sub-Saharan Africa,Central African Republic,CAF,CAF_2010,3940000,370000,40000,         <10000,         <10000,40000,         <10000,         <10000,4400000
47,1,40,2010,Sub-Saharan Africa,Chad,TCD,TCD_2010,4560000,6210000,280000,         <10000,         <10000,160000,20000,         <10000,11230000
48,1,41,2010,Europe,Channel Islands,CHI,CHI_2010,130000,         <10000,20000,         <10000,         <10000,         <10000,         <10000,         <10000,150000
49,1,42,2010,Latin America-Caribbean,Chile,CHL,CHL_2010,15300000,         <10000,1470000,         <10000,10000,260000,30000,20000,17110000
50,1,43,2010,Asia-Pacific,China,CHN,CHN_2010,68410000,24690000,700680000,20000,244110000,294300000,9080000,         <10000,1341310000
51,1,44,2010,Latin America-Caribbean,Colombia,COL,COL_2010,42810000,10000,3050000,         <10000,         <10000,370000,40000,         <10000,46290000
52,1,45,2010,Sub-Saharan Africa,Comoros,COM,COM_2010,         <10000,720000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,730000
53,1,46,2010,Sub-Saharan Africa,Republic of the Congo,COG,COG_2010,3470000,50000,360000,         <10000,         <10000,110000,40000,         <10000,4040000
54,1,47,2010,Sub-Saharan Africa,Democratic Republic of the Congo,COD,COD_2010,63210000,970000,1170000,30000,         <10000,490000,100000,         <10000,65970000
56,1,49,2010,Latin America-Caribbean,Costa Rica,CRI,CRI_2010,4230000,         <10000,370000,         <10000,         <10000,40000,10000,         <10000,4660000
57,1,50,2010,Sub-Saharan Africa,Cote d'Ivoire,CIV,CIV_2010,8710000,7390000,1570000,         <10000,         <10000,2020000,30000,         <10000,19740000
58,1,51,2010,Europe,Croatia,HRV,HRV_2010,4110000,60000,230000,         <10000,         <10000,         <10000,         <10000,         <10000,4400000
59,1,52,2010,Latin America-Caribbean,Cuba,CUB,CUB_2010,6670000,         <10000,2590000,20000,         <10000,1960000,         <10000,         <10000,11260000
60,1,53,2010,Asia-Pacific,Cyprus,CYP,CYP_2010,810000,280000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,1100000
61,1,54,2010,Europe,Czech Republic,CZE,CZE_2010,2450000,         <10000,8020000,         <10000,         <10000,         <10000,         <10000,         <10000,10490000
62,1,55,2010,Europe,Denmark,DNK,DNK_2010,4630000,230000,650000,20000,10000,         <10000,         <10000,         <10000,5550000
63,1,56,2010,Sub-Saharan Africa,Djibouti,DJI,DJI_2010,20000,860000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,890000
64,1,57,2010,Latin America-Caribbean,Dominica,DMA,DMA_2010,70000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,70000
65,1,58,2010,Latin America-Caribbean,Dominican Republic,DOM,DOM_2010,8740000,         <10000,1080000,         <10000,         <10000,90000,10000,         <10000,9930000
66,1,59,2010,Latin America-Caribbean,Ecuador,ECU,ECU_2010,13610000,         <10000,800000,         <10000,         <10000,40000,         <10000,         <10000,14460000
67,1,60,2010,Middle East-North Africa,Egypt,EGY,EGY_2010,4120000,76990000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,81120000
68,1,61,2010,Latin America-Caribbean,El Salvador,SLV,SLV_2010,5460000,         <10000,680000,         <10000,         <10000,30000,20000,         <10000,6190000
69,1,62,2010,Sub-Saharan Africa,Equatorial Guinea,GNQ,GNQ_2010,620000,30000,30000,         <10000,         <10000,10000,         <10000,         <10000,700000
70,1,63,2010,Sub-Saharan Africa,Eritrea,ERI,ERI_2010,3310000,1920000,         <10000,         <10000,         <10000,20000,         <10000,         <10000,5250000
71,1,64,2010,Europe,Estonia,EST,EST_2010,540000,         <10000,800000,         <10000,         <10000,         <10000,         <10000,         <10000,1340000
72,1,65,2010,Sub-Saharan Africa,Ethiopia,ETH,ETH_2010,52070000,28680000,50000,         <10000,         <10000,2130000,         <10000,         <10000,82950000
75,1,68,2010,Asia-Pacific,Fiji,FJI,FJI_2010,550000,50000,         <10000,240000,         <10000,         <10000,         <10000,         <10000,860000
76,1,69,2010,Europe,Finland,FIN,FIN_2010,4300000,40000,1020000,         <10000,         <10000,         <10000,         <10000,         <10000,5360000
77,1,70,2010,Europe,France,FRA,FRA_2010,39560000,4710000,17580000,30000,280000,220000,100000,310000,62790000
79,1,72,2010,Asia-Pacific,French Polynesia,PYF,PYF_2010,250000,         <10000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,270000
80,1,73,2010,Sub-Saharan Africa,Gabon,GAB,GAB_2010,1150000,170000,80000,         <10000,         <10000,90000,         <10000,         <10000,1510000
81,1,74,2010,Sub-Saharan Africa,Gambia,GMB,GMB_2010,80000,1640000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,1730000
82,1,75,2010,Europe,Georgia,GEO,GEO_2010,3850000,470000,30000,         <10000,         <10000,         <10000,         <10000,         <10000,4350000
83,1,76,2010,Europe,Germany,DEU,DEU_2010,56540000,4760000,20350000,80000,210000,40000,100000,230000,82300000
84,1,77,2010,Sub-Saharan Africa,Ghana,GHA,GHA_2010,18260000,3860000,1020000,         <10000,         <10000,1200000,40000,         <10000,24390000
85,1,78,2010,Europe,Gibraltar,GIB,GIB_2010,30000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,30000
86,1,79,2010,Europe,Greece,GRC,GRC_2010,10010000,610000,700000,20000,         <10000,10000,         <10000,         <10000,11360000
87,1,80,2010,North America,Greenland,GRL,GRL_2010,50000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,60000
88,1,81,2010,Latin America-Caribbean,Grenada,GRD,GRD_2010,100000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,100000
90,1,83,2010,Asia-Pacific,Guam,GUM,GUM_2010,170000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,180000
91,1,84,2010,Latin America-Caribbean,Guatemala,GTM,GTM_2010,13690000,         <10000,590000,         <10000,         <10000,80000,10000,         <10000,14390000
92,1,85,2010,Sub-Saharan Africa,Guinea,GIN,GIN_2010,1090000,8430000,180000,         <10000,         <10000,270000,         <10000,         <10000,9980000
93,1,86,2010,Sub-Saharan Africa,Guinea-Bissau,GNB,GNB_2010,300000,680000,70000,         <10000,         <10000,470000,         <10000,         <10000,1520000
94,1,87,2010,Latin America-Caribbean,Guyana,GUY,GUY_2010,500000,50000,10000,190000,         <10000,         <10000,         <10000,         <10000,750000
95,1,88,2010,Latin America-Caribbean,Haiti,HTI,HTI_2010,8690000,         <10000,1060000,         <10000,         <10000,220000,30000,         <10000,9990000
97,1,90,2010,Latin America-Caribbean,Honduras,HND,HND_2010,6660000,10000,790000,         <10000,         <10000,80000,40000,         <10000,7600000
98,1,91,2010,Asia-Pacific,Hong Kong,HKG,HKG_2010,1010000,130000,3950000,30000,930000,900000,110000,         <10000,7050000
99,1,92,2010,Europe,Hungary,HUN,HUN_2010,8090000,         <10000,1860000,         <10000,         <10000,         <10000,         <10000,10000,9980000
100,1,93,2010,Europe,Iceland,ISL,ISL_2010,300000,         <10000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,320000
101,1,94,2010,Asia-Pacific,India,IND,IND_2010,31130000,176200000,870000,973750000,9250000,5850000,27560000,10000,1224620000
102,1,95,2010,Asia-Pacific,Indonesia,IDN,IDN_2010,23660000,209120000,240000,4050000,1720000,750000,340000,         <10000,239870000
103,1,96,2010,Asia-Pacific,Iran,IRN,IRN_2010,110000,73570000,110000,20000,         <10000,         <10000,150000,         <10000,73980000
104,1,97,2010,Middle East-North Africa,Iraq,IRQ,IRQ_2010,270000,31340000,40000,         <10000,         <10000,         <10000,20000,         <10000,31670000
105,1,98,2010,Europe,Ireland,IRL,IRL_2010,4110000,50000,280000,10000,         <10000,         <10000,         <10000,         <10000,4470000
106,1,99,2010,Europe,Isle of Man,IMN,IMN_2010,70000,         <10000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,80000
107,1,100,2010,Middle East-North Africa,Israel,ISR,ISR_2010,150000,1380000,230000,         <10000,20000,20000,         <10000,5610000,7420000
108,1,101,2010,Europe,Italy,ITA,ITA_2010,50440000,2220000,7500000,90000,110000,80000,60000,50000,60550000
109,1,102,2010,Latin America-Caribbean,Jamaica,JAM,JAM_2010,2120000,         <10000,470000,         <10000,         <10000,120000,30000,         <10000,2740000
110,1,103,2010,Asia-Pacific,Japan,JPN,JPN_2010,2030000,200000,72120000,30000,45820000,450000,5890000,         <10000,126540000
111,1,104,2010,Middle East-North Africa,Jordan,JOR,JOR_2010,130000,6010000,         <10000,         <10000,20000,         <10000,         <10000,         <10000,6190000
112,1,105,2010,Asia-Pacific,Kazakhstan,KAZ,KAZ_2010,3970000,11290000,670000,         <10000,40000,50000,20000,         <10000,16030000
113,1,106,2010,Sub-Saharan Africa,Kenya,KEN,KEN_2010,34340000,3920000,1000000,60000,         <10000,690000,500000,         <10000,40510000
114,1,107,2010,Asia-Pacific,Kiribati,KIR,KIR_2010,90000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,100000
115,1,108,2010,Europe,Kosovo,XKX,XKX_2010,110000,1660000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,1770000
116,1,109,2010,Middle East-North Africa,Kuwait,KWT,KWT_2010,390000,2030000,         <10000,230000,80000,         <10000,         <10000,         <10000,2740000
117,1,110,2010,Asia-Pacific,Kyrgyzstan,KGZ,KGZ_2010,610000,4690000,20000,         <10000,         <10000,         <10000,         <10000,         <10000,5330000
118,1,111,2010,Asia-Pacific,Laos,LAO,LAO_2010,90000,         <10000,50000,         <10000,4100000,1910000,50000,         <10000,6200000
119,1,112,2010,Europe,Latvia,LVA,LVA_2010,1260000,         <10000,990000,         <10000,         <10000,         <10000,         <10000,         <10000,2250000
120,1,113,2010,Middle East-North Africa,Lebanon,LBN,LBN_2010,1620000,2590000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,4230000
121,1,114,2010,Sub-Saharan Africa,Lesotho,LSO,LSO_2010,2100000,         <10000,70000,         <10000,         <10000,         <10000,         <10000,         <10000,2170000
122,1,115,2010,Sub-Saharan Africa,Liberia,LBR,LBR_2010,3430000,480000,60000,         <10000,         <10000,20000,         <10000,         <10000,3990000
123,1,116,2010,Middle East-North Africa,Libya,LBY,LBY_2010,170000,6140000,10000,         <10000,20000,         <10000,         <10000,         <10000,6360000
124,1,117,2010,Europe,Liechtenstein,LIE,LIE_2010,30000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,40000
125,1,118,2010,Europe,Lithuania,LTU,LTU_2010,2980000,         <10000,330000,         <10000,         <10000,         <10000,         <10000,         <10000,3320000
126,1,119,2010,Europe,Luxembourg,LUX,LUX_2010,360000,10000,140000,         <10000,         <10000,         <10000,         <10000,         <10000,510000
